"p.name","pos","pen"
"primer3.172-172.R.output.txt",171,8.649973
"primer3.188-188.R.output.txt",187,2.362397
"primer3.354-354.R.output.txt",353,1.114627
"primer3.382-382.R.output.txt",381,6.260714
"primer3.490-490.R.output.txt",489,9.520515
"primer3.493-493.R.output.txt",492,9.667107
"primer3.561-561.R.output.txt",560,0.588252
"primer3.641-641.R.output.txt",640,3.397482
"primer3.650-650.R.output.txt",649,6.205658
"primer3.653-653.R.output.txt",652,5.948992
"primer3.761-761.R.output.txt",760,8.812329
"primer3.1245-1245.R.output.txt",1244,6.4032
"primer3.1249-1249.R.output.txt",1248,5.228579
"primer3.1260-1260.R.output.txt",1259,4.653801
"primer3.1546-1546.R.output.txt",1545,1.204312
"primer3.1549-1549.R.output.txt",1548,2.060326
"primer3.1570-1570.R.output.txt",1569,6.500684
"primer3.1619-1619.R.output.txt",1618,3.876274
"primer3.1642-1642.R.output.txt",1641,7.414098
"primer3.1734-1734.R.output.txt",1733,6.63861
"primer3.1770-1770.R.output.txt",1769,2.076803
"primer3.1795-1795.R.output.txt",1794,3.130693
"primer3.1828-1828.R.output.txt",1827,3.000684
"primer3.1840-1840.R.output.txt",1839,1.2031
"primer3.1849-1849.R.output.txt",1848,3.269578
"primer3.1961-1961.R.output.txt",1960,7.254852
"primer3.1991-1991.R.output.txt",1990,1.066215
"primer3.1995-1995.R.output.txt",1994,2.438254
"primer3.2055-2055.R.output.txt",2054,3.816523
"primer3.2069-2069.R.output.txt",2068,3.39656
"primer3.2142-2142.R.output.txt",2141,2.363018
"primer3.2484-2484.R.output.txt",2483,1.226379
"primer3.2500-2500.R.output.txt",2499,5.695851
"primer3.2514-2514.R.output.txt",2513,7.180946
"primer3.2529-2529.R.output.txt",2528,1.351017
"primer3.2555-2555.R.output.txt",2554,7.779754
"primer3.2634-2634.R.output.txt",2633,2.386661
"primer3.2890-2890.R.output.txt",2889,1.168714
"primer3.2899-2899.R.output.txt",2898,2.769652
"primer3.3007-3007.R.output.txt",3006,3.644399
"primer3.3140-3140.R.output.txt",3139,0.390472
"primer3.3161-3161.R.output.txt",3160,2.862541
"primer3.3439-3439.R.output.txt",3438,0.737715
"primer3.3616-3616.R.output.txt",3615,2.027745
"primer3.3661-3661.R.output.txt",3660,5.474876
"primer3.3681-3681.R.output.txt",3680,3.003763
"primer3.3758-3758.R.output.txt",3757,2.173782
"primer3.3908-3908.R.output.txt",3907,6.892456
"primer3.3951-3951.R.output.txt",3950,7.792374
"primer3.4209-4209.R.output.txt",4208,5.362143
"primer3.4210-4210.R.output.txt",4209,5.523588
"primer3.4211-4211.R.output.txt",4210,5.103728
"primer3.4213-4213.R.output.txt",4212,5.136068
"primer3.4215-4215.R.output.txt",4214,3.640967
"primer3.4217-4217.R.output.txt",4216,3.378512
"primer3.4219-4219.R.output.txt",4218,2.437281
"primer3.4221-4221.R.output.txt",4220,1.492176
"primer3.4223-4223.R.output.txt",4222,1.492176
"primer3.4441-4441.R.output.txt",4440,4.811063
"primer3.4449-4449.R.output.txt",4448,4.216257
"primer3.4497-4497.R.output.txt",4496,8.53977
"primer3.4504-4504.R.output.txt",4503,6.83809
"primer3.4508-4508.R.output.txt",4507,6.796785
"primer3.4545-4545.R.output.txt",4544,6.208007
"primer3.4546-4546.R.output.txt",4545,5.708697
"primer3.4548-4548.R.output.txt",4547,6.829229
"primer3.4551-4551.R.output.txt",4550,7.868415
"primer3.4573-4573.R.output.txt",4572,2.786445
"primer3.4578-4578.R.output.txt",4577,4.44821
"primer3.4868-4868.R.output.txt",4867,7.227512
"primer3.5007-5007.R.output.txt",5006,2.285977
"primer3.5008-5008.R.output.txt",5007,3.359695
"primer3.5010-5010.R.output.txt",5009,5.575157
"primer3.5094-5094.R.output.txt",5093,5.105392
"primer3.5102-5102.R.output.txt",5101,2.295885
"primer3.5106-5106.R.output.txt",5105,1.946081
"primer3.5117-5117.R.output.txt",5116,7.776933
"primer3.5283-5283.R.output.txt",5282,0.251916
"primer3.5303-5303.R.output.txt",5302,6.367969
"primer3.5332-5332.R.output.txt",5331,4.970662
"primer3.5394-5394.R.output.txt",5393,0.598065
"primer3.5459-5459.R.output.txt",5458,1.219124
"primer3.5469-5469.R.output.txt",5468,3.577919
